lat,lon,mm
40.582,-119.79,84.929
41.983,-123.6,87.388
41.85,-123.97,36.259
42.07,-123.01,84.913
41.953,-121.58,66.445
41.893,-120.75,71.967
41.775,-122.95,93.775
41.515,-124,17.532
41.303,-123.53,50.774
41.8,-122.1,94.933
41.333,-122.83,70.036
41.3,-123.12,102.89
41.197,-122.52,77.017
41.093,-122.48,90.166
41.083,-122.63,102.43
41.08,-122.94,85.489
40.917,-122.82,92.496
40.76,-122.93,76.535
40.733,-122.95,85.877
40.717,-123.28,83.088
40.683,-122.75,69.154
40.673,-122.92,60.657
40.625,-122.76,77.721
41.299,-124.05,33.451
40.796,-123.94,59.615
40.367,-123.43,90.021
40.232,-123.71,59.748
40.208,-123.46,81.927
40.15,-123.47,72.36
39.875,-123.72,41.049
39.826,-123.08,77.395
39.702,-123.49,60.23
39.433,-122.98,51.608
40.474,-123.79,58.025
40.23,-124.15,38.586
39.364,-123.13,43.152
39.203,-123.19,52.889
39.125,-123.07,85.243
38.879,-123.05,33.313
38.723,-123.01,25.388
38.617,-123.02,55.975
38.987,-123.35,44.011
38.117,-122.85,39.161
37.998,-122.54,42.403
38.267,-122.67,14.905
38.571,-122.43,60.096
38.433,-122.25,71.317
38.028,-122.2,43.945
37.99,-121.79,28.412
37.95,-121.88,54.286
37.938,-122.03,37.852
37.92,-121.68,34.655
37.89,-121.72,21.287
37.882,-121.91,77.867
37.871,-122.06,36.417
37.842,-122.11,47.852
37.817,-122.06,59.942
37.787,-121.87,36
37.71,-121.82,36.313
37.502,-121.74,75.195
37.553,-121.84,49.816
34.3,-120.7,65.338
37.207,-121.94,28.694
37.397,-121.49,60.207
37.548,-122.42,28.407
37.305,-122.25,62.756
37.997,-121.86,12.792
37.937,-122.34,38.337
37.895,-121.86,53.469
37.821,-122,34.252
37.7,-122.22,21.518
37.158,-121.9,70.823
37.142,-122.16,58.129
37.132,-122.17,55.712
37.067,-121.82,55.654
37.036,-121.85,68.805
36.983,-121.95,14.293
37.02,-122.19,41.046
36.657,-121.37,88.138
36.383,-120.85,83.843
37.109,-121.91,49.769
37.025,-121.78,30.505
36.99,-121.83,54.932
36.9,-121.6,36.292
36.627,-121.79,47.967
36.532,-121.28,61.567
36.193,-120.76,79.567
35.942,-120.33,89.969
35.899,-120.43,60.742
35.656,-120.92,56.038
35.395,-120.35,73.807
35.374,-120.64,54.144
36.4,-121.72,50.045
36.358,-121.54,67.362
36.3,-121.71,102.27
36.081,-121.5,88.669
35.117,-120.42,42.715
34.84,-120.17,32.081
34.759,-120.49,59.083
34.734,-120.01,78.019
34.517,-119.82,80.482
34.467,-119.87,47.764
34.017,-119.78,40.761
33.967,-120.07,73.672
34.372,-118.84,40.316
34.136,-118.61,50.481
34.062,-118.64,49.447
34.682,-119.35,82.546
34.109,-118.94,63.8
34.094,-117.68,55.192
34.583,-118.55,87.381
34.569,-118.74,79.699
34.446,-118.2,72.07
34.425,-118.53,60.264
34.353,-118.42,82.304
34.329,-118.56,76.556
34.291,-118.8,48.818
34.21,-118.87,44.691
34.668,-117.82,64.628
34.379,-117.69,88.068
34.271,-118.15,81.311
34.195,-118.09,74.97
34.167,-117.77,68.327
34.137,-117.71,55.865
34.125,-118.42,59.322
34.383,-118.07,76.872
34.326,-117.84,98.085
34.17,-117.81,70.118
34.126,-117.95,47.095
34.092,-117.81,55.485
33.984,-118.01,58.515
34.221,-117.4,60.2
34.184,-117.26,45.596
34.168,-117.54,68.213
33.769,-117.08,62.542
33.714,-116.71,91.828
33.556,-116.67,83.575
34.319,-117.01,95.51
34.194,-116.91,79.403
34.15,-116.98,85.571
34.083,-117.04,67.658
33.811,-117.71,78.431
33.496,-116.98,54.952
33.445,-117.42,67.116
33.382,-117.29,57.045
33.289,-117.44,18.294
33.222,-116.5,87.311
33.076,-116.59,82.563
32.913,-116.92,53.947
32.857,-116.62,75.196
32.841,-117.03,41.938
32.834,-116.74,68.726
32.799,-116.92,41.084
32.765,-117.17,26.246
32.605,-116.61,51.329
41.315,-122.32,78.855
41.133,-122.28,98.169
41.023,-122.4,53.535
40.9,-122.25,61.878
40.717,-122.42,56.054
40.657,-122.53,76.657
40.619,-121.9,65.098
40.516,-122.29,28.252
40.35,-121.7,101.42
39.888,-122.53,46.29
39.858,-122.61,44.836
39.541,-122.39,31.67
39.338,-122.02,31.822
39.026,-121.82,31.015
38.602,-121.53,35.598
38.329,-121.69,18.557
41.277,-121.98,91.41
41.17,-121.94,87.99
41.911,-119.94,85.466
41.583,-120.3,95.637
41.459,-120.35,72.864
41.328,-120.47,91.811
41.058,-120.71,99.589
41.015,-121.16,101.89
40.998,-121.75,67.911
40.933,-121.55,74.087
40.867,-121.88,88.277
40.778,-121.78,90.755
40.423,-122.74,70.37
40.317,-122.88,87.098
40.167,-122.8,75.321
40.639,-122.67,65.175
40.603,-121.85,52.537
40.543,-121.58,98.557
40.496,-121.85,88.319
39.833,-122.78,87.625
38.686,-121.59,20.283
40.069,-121.58,90.902
39.712,-121.78,40.337
39.808,-122.33,33.941
39.65,-122.72,92.159
39.538,-122.67,95.828
39.367,-122.52,48.933
40.468,-121.51,101.29
40.283,-121.23,83.791
40.209,-121.16,92.057
40.14,-120.72,102.49
40.125,-121.04,99.605
40.115,-121.37,106.6
40.079,-120.84,76.858
40.002,-120.92,74.444
39.975,-120.94,77.674
39.917,-121.33,71.692
39.904,-121.53,82.487
39.883,-120.18,98.69
39.829,-121.47,83.222
39.786,-120.88,101.65
39.754,-121.62,64.015
39.692,-121.34,87.787
39.675,-120.61,106.87
39.564,-121.11,92.298
39.517,-121.27,78.189
39.568,-120.65,88.442
39.475,-121.2,73.662
39.451,-121.05,81.474
39.412,-121,81.131
39.381,-121.39,53.733
39.331,-121.19,34.253
39.329,-121.11,62.058
39.317,-120.63,95.835
39.304,-121.12,53.577
39.239,-121.27,35.529
39.217,-120.98,72.675
39.264,-120.77,70.799
39.133,-120.95,39.807
39.00,-121.41,39.007
39.283,-120.7,99.279
39.276,-120.71,77.494
39.144,-120.51,134.25
39.094,-120.58,79.799
39.075,-120.56,93.02
38.983,-120.32,85.883
38.925,-120.79,62.365
38.903,-120.38,92.958
38.882,-121.27,29.117
38.863,-121.22,39.175
38.815,-121.11,36.948
38.805,-120.21,105.83
38.784,-120.31,90.731
38.76,-121.32,21.149
38.747,-120.07,117.34
38.727,-121.25,19.264
38.71,-120.04,124.12
38.7,-121.17,41.709
38.695,-120.82,80.925
38.687,-121.15,19.326
38.678,-120.12,95.967
38.645,-121.35,33.852
38.604,-121.41,22.426
38.593,-121.37,28.44
38.587,-121.41,29.531
39.204,-122.81,81.115
39.083,-122.53,69.259
39.081,-122.54,61.327
38.862,-122.42,66.69
38.238,-121.52,15.065
38.016,-121.64,45.769
37.85,-121.93,41.641
37.817,-121.78,54.136
38.718,-120.56,77.387
38.586,-121.02,56.687
38.485,-121.26,39.992
38.307,-121.42,14.705
38.613,-119.93,128.77
38.49,-119.81,116.48
38.45,-120.48,75.792
38.39,-120.65,86.072
38.22,-121.04,37.414
38.198,-120.37,80.184
38.242,-120.5,66.875
38.178,-120.86,43.524
38.151,-120.82,49.933
38.137,-121.03,23.268
38.045,-120.99,25.007
37.915,-120.94,37.532
38.505,-119.94,111.05
38.375,-120.19,100.51
38.205,-119.89,112.85
38.172,-120.1,89.125
37.961,-120.62,62.909
37.92,-120.68,53.756
38.186,-120.01,90.872
38.03,-120.35,84.638
37.949,-120.27,71.289
37.917,-119.66,82.804
37.887,-120.05,92.022
37.868,-119.32,104.54
37.833,-120.5,47.796
37.801,-120.1,96.548
37.838,-119.45,100.76
37.763,-119.79,98.305
37.741,-120.13,75.719
37.721,-120.1,80.703
37.654,-120.31,48.513
37.637,-119.55,115.57
37.585,-120.27,42.481
37.542,-119.84,87.012
37.508,-119.63,93.3
37.5,-119.6,105.49
37.464,-119.54,114.44
37.367,-120.22,51.623
37.282,-120.19,33.883
37.213,-119.97,28.289
37.489,-119.81,75.925
37.41,-119.77,82.007
37.345,-119.68,64.276
37.115,-119.88,36.925
38.05,-121.5,18.89
37.999,-121.32,19.987
37.993,-120.98,36.447
37.94,-121.62,3.1693
37.902,-120.76,30.7
37.849,-120.68,39.079
37.629,-119.08,105.94
37.58,-121.35,69.738
37.524,-121.51,68.324
37.465,-119.29,89.941
37.403,-119.52,115.06
37.38,-120.08,78.202
37.329,-121.3,62.937
37.291,-119.53,80.826
37.25,-119.46,92.223
37.228,-119.22,91.15
37.165,-119.2,95.427
37.135,-119.26,99.115
37.054,-119.37,88.03
36.995,-119.69,44.875
36.636,-120.64,46.211
37.066,-119.04,77.844
36.961,-119.18,99.522
36.9,-119.2,58.335
36.833,-119.33,45.161
36.797,-118.42,117.27
36.733,-118.67,114.64
36.685,-119,75.14
36.676,-118.86,118.6
36.562,-118.77,92.743
36.415,-118.7,42.282
36.411,-118.81,91.983
36.242,-118.71,100.35
36.163,-118.71,69.026
36.108,-118.64,101.18
36.05,-118.91,34.653
36.563,-118.35,130.76
36.093,-118.26,85.144
36.02,-118.28,112.45
35.967,-118.35,119.22
35.946,-118.48,82.905
35.891,-118.92,34.114
35.89,-118.13,109.98
35.884,-118.05,104.2
35.755,-118.43,75.921
35.646,-118.47,62.526
35.613,-118.28,66.926
35.558,-118.14,81.319
35.508,-118.19,94.013
35.451,-118.58,110.71
35.427,-118.41,104.58
35.382,-118.55,79.026
35.309,-118.36,63.794
35.282,-118.41,76.597
35.221,-118.47,81.748
35.14,-118.63,88.277
35.09,-118.45,85.354
36.232,-118.87,43.976
36.262,-120.53,86.368
35.859,-119.11,30.217
36.305,-120.4,76.532
41.993,-120.17,96.036
40.731,-120.32,104.23
40.022,-120.11,92.29
39.483,-120.05,100.74
39.458,-119.95,104.54
39.452,-120.29,87.501
39.428,-120.03,83.752
39.379,-120.14,93.582
39.327,-120.11,88.672
39.3,-120.19,104.11
39.182,-120.12,103.61
39.326,-119.9,112.28
39.172,-120.15,102.65
39.001,-120.14,94.788
38.929,-119.92,96.346
38.849,-120.08,105.81
38.719,-119.89,122.33
38.67,-119.61,108.33
38.561,-119.81,112.99
38.44,-119.38,119.74
38.318,-119.6,102.89
38.282,-119.62,123.86
38.077,-119.23,103.43
37.86,-119.1,107.32
37.769,-119.13,104.32
37.843,-118.48,95.885
37.61,-119.03,128.97
37.39,-118.55,89.286
36.843,-118.26,86.048
35.478,-117.7,82.172
35.685,-117.89,87.584
35.368,-117.57,78.935
35.094,-117.58,93.04
34.288,-117.21,87.12
34.536,-117.03,64.227
34.272,-117.27,85.193
32.974,-115.17,27.174
32.908,-114.49,40.704
34.391,-116.52,74.47
34.123,-116.41,96.824
32.983,-116.06,42.676
