lat,lon
41.988,-123.72
41.883,-124.13
41.833,-123.83
41.999,-121.7
41.928,-122.44
41.858,-123.35
41.687,-122.6
41.333,-123.5
41.479,-122.45
41.6,-122.93
41.272,-122.72
41.302,-122.53
41.112,-122.7
41.089,-122.71
41.083,-122.72
41.05,-123.67
40.825,-122.66
40.733,-123.2
40.727,-122.79
40.69,-122.83
40.679,-122.83
40.625,-122.91
40.5,-123.33
40.906,-123.82
40.463,-123.52
40.319,-123.37
40.218,-123.63
40.182,-123.78
40.138,-123.82
39.833,-123.08
39.725,-122.85
39.667,-123.32
39.408,-122.96
40.258,-124.25
39.367,-123.13
39.351,-123.32
39.197,-123.19
38.905,-123.23
38.727,-122.84
38.716,-123
38.479,-122.71
38.25,-122.96
38.083,-122.95
38.317,-122.63
38.233,-122.64
38.492,-122.53
38.035,-122.27
38.019,-122.02
37.977,-122.18
37.943,-121.89
37.934,-122.12
37.895,-122.17
37.883,-122.22
37.88,-121.92
37.867,-122.22
37.834,-122.07
37.788,-122.14
37.732,-121.93
37.667,-121.6
37.255,-121.69
37.517,-121.88
37.362,-121.93
37.358,-122.15
37.579,-122.41
37.496,-122.33
38.085,-122.56
37.985,-121.94
37.898,-122.54
37.884,-122.22
37.81,-122.47
37.439,-122.11
37.208,-122.06
37.133,-121.97
37.093,-122.08
37.063,-121.93
37.021,-121.93
37.161,-122.29
37.011,-121.7
36.416,-120.67
36.348,-120.6
37.036,-121.8
36.992,-121.8
36.939,-121.77
36.627,-121.8
36.599,-121.75
36.23,-121.49
36.083,-120.61
35.93,-120.87
35.717,-120.64
35.629,-120.68
35.381,-120.19
35.189,-120.08
36.388,-121.55
36.312,-121.57
36.518,-121.93
35.096,-119.77
34.917,-119.92
34.771,-119.65
34.751,-120.01
34.691,-119.66
35.322,-120.8
34.46,-119.64
34.009,-119.65
32.84,-118.39
34.185,-118.72
34.084,-118.7
34.046,-118.94
34.51,-119.23
34.448,-119.23
34.536,-119.18
34.583,-119.08
34.464,-118.75
34.431,-118.67
34.404,-118.81
34.337,-118.52
34.301,-119.04
34.268,-119.21
34.738,-118.4
34.446,-117.85
34.294,-118.36
34.258,-118.41
34.194,-118.21
34.139,-117.71
34.134,-117.74
34.104,-118.21
34.333,-118.03
34.246,-117.84
34.153,-117.77
34.121,-117.78
34.074,-117.87
34.317,-117.5
34.209,-117.41
34.169,-117.5
33.877,-117.3
33.74,-116.84
33.65,-117.41
33.529,-117.23
34.234,-117.48
34.186,-117.18
34.104,-117.27
33.947,-117.82
33.552,-117.57
33.475,-117.49
33.393,-116.8
33.372,-117.36
33.239,-117.01
33.109,-116.67
32.999,-116.84
32.882,-116.81
32.846,-116.86
32.836,-116.9
32.813,-117.13
32.766,-117.02
32.685,-116.97
41.35,-122.25
41.313,-122.32
41.045,-122.48
40.917,-122.44
40.867,-122.38
40.716,-122.43
40.651,-122.61
40.601,-122.44
40.417,-122.19
39.939,-122.17
39.875,-121.77
39.652,-121.64
39.417,-122.18
39.148,-121.92
38.7,-121.31
38.478,-121.46
38.18,-121.91
41.25,-122.13
41.13,-122.07
41.587,-121.61
41.522,-120.67
41.42,-121.46
41.237,-120.79
41.056,-120.34
41,-121.5
40.987,-121.98
40.926,-121.59
40.817,-121.32
40.77,-121.2
40.35,-122.45
40.283,-122.37
40.7,-122.1
40.617,-122.57
40.574,-122.42
40.348,-121.61
40.333,-121.75
38.688,-121.8
38.583,-121.5
39.872,-121.61
39.808,-122.33
39.65,-122.72
39.583,-122.53
39.371,-122.61
39.296,-122.65
40.307,-120.9
40.273,-121.09
40.18,-120.61
40.139,-120.94
40.119,-120.48
40.1,-121.5
40.036,-120.29
39.979,-120.48
39.935,-120.95
39.917,-120.65
39.883,-120.47
39.85,-121.24
39.813,-121.32
39.758,-120.7
39.736,-121.49
39.681,-120.98
39.583,-120.37
39.54,-121.49
39.368,-121.37
39.559,-120.83
39.47,-120.88
39.448,-120.65
39.396,-121.14
39.338,-121.33
39.331,-121.19
39.319,-120.37
39.317,-120.84
39.3,-120.83
39.237,-121.27
39.206,-121.07
39.183,-120.88
39.05,-121.32
38.9,-120.68
39.282,-120.53
39.155,-120.51
39.128,-120.75
39.091,-120.73
39.072,-120.42
38.945,-120.31
38.912,-120.38
38.882,-121.05
38.874,-121.14
38.832,-121.01
38.805,-120.22
38.8,-120.2
38.76,-120.5
38.749,-121.28
38.733,-120.25
38.724,-121.23
38.706,-121.31
38.7,-121.45
38.692,-120
38.686,-121.22
38.652,-121.25
38.604,-121.31
38.596,-121.41
38.592,-121.16
38.555,-121.42
39.182,-122.7
39.083,-122.95
38.738,-122.14
38.8,-122.72
38.05,-121.5
37.94,-121.62
37.831,-121.62
37.815,-121.81
38.59,-120.84
38.533,-120.7
38.421,-121.37
38.615,-120.14
38.498,-120.22
38.483,-120.32
38.4,-120.63
38.25,-120.85
38.204,-120.97
38.314,-120.54
38.21,-120.46
38.152,-120.81
38.149,-120.92
38.062,-120.92
38.032,-120.98
37.28,-120.16
38.45,-120.03
38.332,-119.65
38.2,-119.98
38.133,-120.37
37.948,-120.53
37.735,-120.85
38.057,-120.24
37.975,-119.92
37.945,-119.78
37.897,-119.26
37.873,-119.35
37.859,-119.65
37.823,-120.1
37.725,-120.6
37.767,-119.77
37.75,-119.8
37.74,-119.59
37.675,-119.79
37.65,-120.08
37.599,-119.98
37.555,-120.46
37.534,-119.64
37.504,-119.99
37.468,-119.59
37.377,-120.28
37.292,-120.15
37.273,-120.28
37.213,-119.97
37.449,-119.65
37.368,-119.89
37.2,-119.92
38.074,-121.21
38.001,-121.71
37.998,-121.86
37.988,-122.08
37.918,-120.96
37.893,-121.86
37.665,-121.47
37.617,-121.55
37.555,-119.24
37.517,-121.23
37.41,-119.49
37.383,-119.62
37.342,-119.36
37.3,-119.1
37.27,-119.54
37.233,-119.5
37.182,-120.79
37.151,-119.51
37.067,-119.4
37.053,-121.05
36.994,-120.93
37.082,-118.86
37.003,-118.99
36.909,-119.09
36.884,-119.47
36.824,-119.34
36.788,-118.66
36.717,-118.84
35.872,-117.92
36.571,-118.97
36.464,-118.63
36.415,-119
36.371,-118.65
36.181,-118.62
36.122,-118.54
36.061,-118.92
35.983,-118.64
36.127,-118.29
36.03,-118.22
35.977,-118.13
35.947,-118.06
35.946,-118.48
35.89,-118.33
35.889,-118.2
35.783,-118.43
35.666,-118.06
35.646,-118.48
35.568,-118.29
35.532,-118.13
35.466,-118.25
35.433,-118.78
35.384,-118.41
35.332,-118.59
35.289,-118.45
35.258,-118.57
35.205,-118.41
35.133,-118.44
35.072,-118.48
36.033,-120.06
36.016,-120.29
35.817,-118.84
36.039,-120.48
40.782,-120.78
40.59,-121.08
39.494,-120.29
39.471,-120.1
39.454,-120.3
39.435,-120.32
39.383,-120.1
39.333,-120.25
39.327,-120.11
39.194,-120.28
39.166,-120.14
39.173,-119.91
39.137,-120.22
38.932,-120.06
38.853,-119.94
38.837,-119.89
38.682,-119.96
38.667,-119.82
38.501,-119.63
38.398,-119.54
38.305,-119.55
38.272,-119.29
37.933,-119.23
37.78,-119.17
37.754,-119.08
37.745,-118.98
37.551,-118.67
37.176,-118.56
36.483,-118.18
36.117,-117.08
35.446,-118.28
35.295,-118.23
34.537,-118.1
35.058,-116.08
34.343,-117.24
34.063,-114.71
32.95,-114.73
32.74,-114.88
