id,mm
1,59.7627721786
2,25.4040894736
3,48.4742512164
4,72.2504639296
5,91.9414379941
6,81.5878786733
7,94.0802913507
8,71.1767888169
9,89.362662415
10,92.8364545894
11,86.8631814205
12,85.8120704006
13,82.380763301
14,81.8939948022
15,81.8782605316
16,63.972438717
17,73.8259589797
18,82.7455030899
19,74.9865984138
20,75.4832846932
21,75.3022892107
22,76.9113481294
23,81.9310266594
24,56.4180555077
25,77.527564662
26,80.3343669975
27,69.871849178
28,59.9533674846
29,55.9133812134
30,74.6445494043
31,70.3204849551
32,66.9789925275
33,69.162230202
34,27.1836693753
35,64.8697211897
36,55.1419631727
37,56.5354390813
38,41.2693651519
39,54.1075588896
40,47.2422935252
41,48.8185082683
42,29.2072080607
43,23.3688306538
44,45.5452020623
45,42.9519281979
46,50.6614408613
47,43.9553602245
48,41.3259851559
49,43.7197186826
50,40.3699123678
51,43.6499743153
52,44.0890897039
53,44.0113574367
54,42.260374882
55,44.0306925367
56,44.3979026606
57,44.7324685356
58,45.2655836068
59,43.3544001284
60,53.971068782
61,48.7845983312
62,50.053179105
63,45.0490444138
64,37.9519792603
65,40.0128052435
66,41.2961028445
67,40.417501844
68,38.065948474
69,44.010077781
70,38.884299341
71,46.2456921627
72,47.4742376589
73,50.2313737479
74,46.6259883944
75,51.6343872063
76,51.800445529
77,38.6456430629
78,57.7799176162
79,72.0367863333
80,71.5687799237
81,55.3280463644
82,55.7597137384
83,57.1077127049
84,59.6666087769
85,61.975625532
86,75.8330579702
87,77.7397101098
88,82.5958033953
89,74.2135962144
90,71.6519668148
91,58.7168666273
92,57.5832626511
93,72.3209916758
94,72.4725361465
95,55.381303778
96,58.2513448221
97,60.6434621216
98,64.2309659195
99,61.2565850278
100,64.5324309996
101,57.3755158317
102,62.9154835393
103,49.6893134963
104,-21.4657052748
105,56.2576861929
106,49.8524378676
107,43.5824867013
108,65.1044123912
109,63.2251589435
110,66.2757680437
111,68.6850075987
112,70.5583038887
113,70.6474809521
114,66.8783293018
115,68.8226123087
116,58.428557867
117,55.691505412
118,83.8326964046
119,77.2271956281
120,69.1327642548
121,66.4147301523
122,65.7668356656
123,67.4881892801
124,67.0733982642
125,60.5736411361
126,73.8017923007
127,70.8300360893
128,67.5919104823
129,66.2394581681
130,63.2871075137
131,73.0004606063
132,71.6790802205
133,70.0712969582
134,67.1048581557
135,81.488706011
136,55.8199035577
137,59.7377681162
138,71.596268957
139,74.4642324466
140,72.127704473
141,57.6925087749
142,44.7684561084
143,44.6142964493
144,76.6556596758
145,46.6735579846
146,61.8068945631
147,72.1738553856
148,61.5757841684
149,58.020854535
150,54.143229763
151,51.6815055416
152,36.7282872223
153,41.7175077642
154,41.0749028933
155,84.700898708
156,84.2522474847
157,77.4044423713
158,72.8920568748
159,70.8850447644
160,66.7626439069
161,68.3912209163
162,63.8991872824
163,59.9955936205
164,52.9565192857
165,60.5973110486
166,56.8774904579
167,48.5149199034
168,37.2954473915
169,27.8831625002
170,22.5437790028
171,35.7086364506
172,82.1927792749
173,79.8872601821
174,81.8236191589
175,85.5598622247
176,85.0966915901
177,91.7242671373
178,93.1091249403
179,90.9073773122
180,78.229780543
181,88.7435483046
182,96.8330806742
183,99.5911364201
184,59.2746560984
185,57.2543712987
186,68.5250982916
187,66.6541229353
188,63.0304191924
189,82.1434432981
190,74.4478019771
191,27.0497878932
192,22.4649093111
193,67.4642038538
194,53.7678667495
195,66.7311765973
196,60.5038496537
197,63.8067562868
